Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C16, C4, C6, C7, C9",0402,10,100n,C1525
"C10, C2, C3, C5",0402,4,1u,C52923
"C11, C8",0402,2,30p,C1570
"C17, C18",0402,2,10u,C315248
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D4, D5, D6, D7, D8, D9",D_SOD-123F,35,D,C2908120
"R1, R4",0402,2,1k,C11702
"R2, R3",0402,2,27,C138021
R5,0402,1,10k,C25744
"R7, R9",0402,2,5.1k,C25905
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,RP2040-QFN-56,1,RP2040,C2040
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-363_SC-70-6,1,SMF05CT1G,C15879
U5,SOT-563_SN74LVC1T45DRLR,1,SN74LVC1T45DRL,C352970
USB1,USB-C_SMD-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
